BrightMlsId,CityName,FullStreetAddress,OldMapCoordinates,AgeRequirement,AltOfficeCode,AssessmentYear,BasementAreaFinished,BasementAreaUnfinished,Baths,BathsFull,BathsHalf,BodyOfWater,DomProperty,HOA,HighSchool,ListOfficeCode,ListOfficeAddress,ListingID,NameOfRental,PetsAllowedFlag,PotentialLivestock,TaxYear,TotalTaxes,PostalCode,YearBuilt
1004411673,WASHINGTON,2625 SHERMAN AVE NW #1,2884//0073,,,2017,675,,3,3,0,,72,FALSE,,GNLN1,3927 GEORGIA AVE NW 1,DC10129751,,,,2017,4047.62,20001,2018
1004404857,WASHINGTON,408 13TH ST SE,0,,,,,,5,3,2,,85,TRUE,,MCWB1,1029 N ROYAL ST,DC10129038,,,,,,20003,2017
1004351703,WASHINGTON,111 VARNUM ST NW #2,GREAT,,,2016,,,3,2,1,,67,FALSE,,COMPS2,5471 WISCONSIN AVE STE 300,DC10123263,,,,2016,1011.08,20011,1917
1004351739,WASHINGTON,111 VARNUM ST NW #3,GREAT,,,2016,,,3,3,0,,44,FALSE,,COMPS2,5471 WISCONSIN AVE STE 300,DC10123272,,,,2016,1011.08,20011,1917
1004351707,WASHINGTON,111 VARNUM ST NW #1,GREAT,,,2016,,,2,2,0,,77,FALSE,,COMPS2,5471 WISCONSIN AVE STE 300,DC10123266,,,,2016,1011.08,20011,1917
1004344207,WASHINGTON,131 T ST NW,TBD,,,2016,1030,,3,3,0,,93,FALSE,,COMPS1,1313 14TH ST NW FL 2ND,DC10122548,,,,2016,5157.55,20001,1907
1004420321,WASHINGTON,630 KEEFER PL NW,UNKNOWN,,,2016,,,3,2,1,,68,FALSE,CARDOZO EDUCATION CAMPUS,FXR6,2403 RESEARCH BLVD STE# 101,DC10130814,,,,2016,2091.96,20010,1910
1000279410,WASHINGTON,1329 STAPLES ST NE,AT NASH ST,,,2016,,,4,3,1,,6,FALSE,,CBRB45,1101 30TH ST NW STE 120,DC10183405,,,,2016,2982.22,20002,1938
1004427747,WASHINGTON,1230 WYLIE ST NE,GOOGLE,,,,,,2,1,1,,79,FALSE,,MCE14,1803 14TH ST NW,DC10131404,,TRUE,,,,20002,1907
1004379967,WASHINGTON,1022 49TH PL NE,1016N1,,PFED4,2016,1104,,2,2,0,,65,FALSE,,PFED4,705 NORTH CAROLINA AVE SE,DC10125964,,,,2016,10980,20019,1978
