,FullStreetAddress,Amenities,Appliances,AssessmentYear,Attic,Baths,BathsFull,BathsHalf,Beds,CityName,CloseDate,ClosePrice,ContractDate,County,CountyTax,CountyTaxPaymentFreq,DaysOnMarket,DomProperty,Fireplaces,Foreclosure,Heating,HOA,HotWater,ImprovementAssessmentAmount,ImprovementAssessmentPaymentFreq,InteriorFeatures,LandAssessmentAmount,LandAssessmentPaymentFreq,Stories,ListDate,ListPrice,ListingLowPrice,ListingType,Longitude,ListingID,OriginalListPrice,Ownership,Parking,PropertyType,Remarks,ShowDays,StreetName,StreetNumber,Style,ListingTaxID,TotalAssessment,TotalOpenHouses,TotalShowings,LivingArea,TotalTaxes,TotalTours,Type,YearBuilt,Zip4,PostalCode
0,3601 5TH ST S #504,,"Dishwasher, Disposal, Refrigerator, Range Hood, Oven / Range - Gas",2014.0,No,1,1,0,2,ARLINGTON,2017-02-22,185000.0,2017-01-15,ARLINGTON,1872.62,Annually,688,688,0,False,Summer / Winter Changeover,False,Natural Gas,154100.0,Annually,Floor Plan-Traditional,36400.0,Annually,1,2015-02-27,192500.0,192500.0,Excl. Right,-77.09676,AR8563022,229000.0,Condo,Unassigned,Residential,"This condo has been thoroughly renovated just prior to listing it for sale: refurbished bath, totally new kitchen with new appliances, new carpet, with hardwood in living and dining area. This is a  bright corner unit on the top floor. Parking is plentiful, outside pool, Estate property must be sold  ""as is"" , prompting renovation. It's a bargain price for Arlington. Condo fee Includes utilities.",,5TH,3601.0,Contemporary,23-015-111,190500,0,0,1011,1897.38,1,Mid-Rise 5-8 Floors,1958,1636.0,22204
1,1600 OAK ST #1915/1914,"Built-in Bookcases, Chair Railing, Crown Molding, Bedroom - Entry Level, Master Bathroom - Separate Shower, Closet - Master Bedroom Walk-in, Shades / Blinds, Wall to Wall Carpeting, Wood Floors, Master Bedroom - Full Bathroom","Cooktop, Dishwasher, Disposal, Dryer, Exhaust Fan, Microwave, Oven - Wall, Refrigerator, Washer, Washer / Dryer - Stacked, Washer - Front Loading",2015.0,No,3,2,1,3,ARLINGTON,2017-02-21,1700000.0,2016-11-16,ARLINGTON,,,514,514,0,False,Heat Pump(s),True,Natural Gas,1648000.0,Annually,Floor Plan-Open,122000.0,Annually,1,2015-06-22,1850000.0,1850000.0,Excl. Right,-77.07377,AR8673996,2800000.0,Condo,Garage,Residential,"A blend of two homes-3,390 interior sqft. w/multiple balconies providing FULL MEMORIAL VIEWS from this Penthouse Level-3 priv. park sps. Located 3 blk.from the Rosslyn Metro.  Enjoy benefits of exercise/spa, pool, tennis, convenience store, 24/7 lobby desk. Note 2 tax records,#1914 and #1915 Tax bill of $17,629.Many furniture pieces can convey with mutual agreement of buyer and seller.",All Days,OAK,1600.0,Contemporary,17-003-291,1770000,0,0,3390,17629.0,1,Hi-Rise 9+ Floors,1986,2760.0,22209
2,1719 GREENBRIER ST,"Attic - Finished, Automatic Garage Door Opener, Bathroom(s) - Ceramic Tile, Countertop(s) - Granite, High Efficiency Toilet(s), Master Bathroom - Separate Shower, Master Bathroom - Separate Tub, Master Bedroom - Full Bathroom, Recycling Area - On Site, Sump Pump, Tub - Soaking, Vanities - Double, Wall to Wall Carpeting, Wet Bar / Bar, Wood Floors, WaterSense Labeled Toilet(s)","ENERGY STAR Dishwasher, ENERGY STAR Refrigerator, Exhaust Fan, Icemaker, Oven - Double, Refrigerator, Dishwasher, Disposal, Dual-Flush Toilet(s), Oven / Range - Gas, Range Hood, Six Burner Stove",2015.0,Yes,8,7,1,7,ARLINGTON,2017-03-03,1625000.0,2017-01-08,ARLINGTON,7353.82,Annually,489,489,1,False,"ENERGY STAR Heating System, Forced Air, Heat Pump(s), Programmable Thermostat, Zoned",False,"Natural Gas, 60 or More Gallon Tank",173100.0,Annually,Floor Plan-Open,575000.0,Annually,4,2015-09-08,1695000.0,1695000.0,Excl. Right,-77.13037,AR8742330,1751000.0,Fee Simple,"Garage, Basement Garage, Drvwy/Off Str, Paved Driveway, Private 1-10 Spaces, Garage Door Opener, Asphalt Driveway",Residential,"New Custom Arts and Crafts home by Calvert Homes. Less than 30 days to completion. 4-Light filled Levels.  3-car garage Open floor plan. Chef's kitchen, SS appliances, island extending to butcher block table. Butler's pantry,dumb waiter, trash chute. Luxury Master Suite, Large BRMS, 7- full baths. Walkout LL with Rec-rm, wet bar, bath & BRM. Finished Loft! 2nd Ofc/BRM, big play area, BA. Wow!",,GREENBRIER,1719.0,Arts & Crafts,09-016-016,748100,0,0,5994,7451.08,1,Detached,2016,3629.0,22205
3,3723 FOUR MILE RUN DR,,"Dishwasher, Disposal, Oven / Range - Gas, Refrigerator, Stove",2015.0,Yes,3,2,1,2,ARLINGTON,2017-01-17,430000.0,2016-12-03,ARLINGTON,3361.86,Annually,121,121,0,False,Forced Air,False,Natural Gas,152000.0,Annually,Floor Plan-Open,190000.0,Annually,3,2015-09-20,475000.0,475000.0,Excl. Right,-77.09023,AR8747453,450000.0,Fee Simple,Street,Residential,"Perfect location!  This is your client's opportunity to own in the sought after Nauck Community with bikes, trails, community gardens and public transportation at your doorsteps.  2 bedrooms, 2.5 baths, hardwood flooring, granite counter tops, stainless steel appliances, fully finished basement with wall to wall carpeting.  Please view documents for offer submission.",All Days,FOUR MILE RUN,3723.0,Federal,31-030-066,342000,0,1,0,3406.32,1,Semi-Detached,1945,2332.0,22206
4,2005 KEY BLVD #11579,"Bathroom(s) - Ceramic Tile, Countertop(s) - Granite, Bedroom - Entry Level, Wood Floors, Shades / Blinds","Dishwasher, Disposal, Exhaust Fan, Microwave, Oven - Self Cleaning, Stove, Refrigerator",2016.0,No,1,1,0,2,ARLINGTON,2017-04-07,362000.0,2017-03-06,ARLINGTON,3386.81,Annually,81,81,0,False,"Heat Pump(s), Forced Air",True,Electric,309700.0,Annually,Floor Plan-Traditional,36600.0,Annually,1,2016-12-10,365000.0,365000.0,Excl. Right,-77.0838,AR9823220,369000.0,Condo,Street,Residential,"Fully updated 2BR/1BA corner unit in Colonial Village offers space and unbeatable location. Renovated with hardwood floors, new kitchen cabinets,stainless steel appliances, granite countertops, light fixtures.  Space for table in kitchen. one permit parking space plus park in front.2 blocks to Court House Metro (orange line), close to DC and Reagan National Airport.",,KEY,2005.0,Rambler,16-026-213,346300,0,0,852,3431.8,0,Garden 1-4 Floors,1940,,22201
5,1719 GLEBE RD N,"Fireplace Mantel(s), Countertop(s) - Granite, Wall to Wall Carpeting, Wood Floors","Dishwasher, Disposal, Dryer, Exhaust Fan, Icemaker, Refrigerator, Stove, Washer",2016.0,Yes,3,2,1,3,ARLINGTON,2017-04-28,760000.0,2017-03-25,ARLINGTON,7480.72,Annually,12,12,1,False,Radiator,False,Natural Gas,288700.0,Annually,Floor Plan-Traditional,476200.0,Annually,3,2017-03-09,765000.0,765000.0,Excl. Right,-77.11908000000001,AR9882001,765000.0,Fee Simple,"Garage, Drvwy/Off Str",Residential,"Stylish, high end renovations of Georgetown style, sweet home. Terraced back patio, finished basement with wet bar, walking distance to Ballston metro. Alley access (parking for 2 cars) + garage Granite/SS/Hardwoods/Large eat in kitchen. LL w/ample entertainment space/full spa bath/remodeled from top to bottom.Handsome front portico & slate walkway. Offset from main road, rare find at price point.",All Days,GLEBE,1719.0,Colonial,07-025-004,764900,0,0,1854,7580.14,1,Detached,1937,2037.0,22207
6,1400 KENMORE ST,"Attic - Floored, Attic - Stairs Fixed, Attic - Storage Only, Attic - Walk-in, Countertop(s) - Granite, Home Warranty, Sump Pump, Wood Floors","Dishwasher, Disposal, Dryer, Extra Refrigerator / Freezer, Icemaker, Microwave, Refrigerator, Stove, Washer, Water Heater",2016.0,Yes,3,2,1,4,ARLINGTON,2017-04-07,930000.0,2017-03-15,ARLINGTON,7869.97,Annually,7,7,1,False,"Wall Unit, Radiator",False,Natural Gas,192700.0,Annually,,612000.0,Annually,3,2017-03-07,899000.0,899000.0,Excl. Right,-77.10205,AR9881038,899000.0,Fee Simple,"Drvwy/Off Str, Garage, Paved Driveway, Asphalt Driveway",Residential,"Fabulous location! Near Clarendon, Vir. Sq. & Ballston metros.  Lovely front porch, plus screened-in porch, garage, 2 driveways, 3BR up plus au pair suite or rec room on lower level. Lots of natural light w/ a skylight.  Wood burning fireplace. Close to restaurants, shops, Science Focus ES & Hayes Park. Combination heating/cooling system. Home warranty inc.!",All Days,KENMORE,1400.0,Traditional,15-039-029,804700,0,1,0,7974.56,2,Detached,1942,4912.0,22201
7,1800 WILSON BLVD #222,"Automatic Garage Door Opener, Elevator, Closet - Master Bedroom Walk-in, Wall to Wall Carpeting, Closet(s) - Walk-in","Dishwasher, Disposal, Exhaust Fan, Icemaker, Microwave, Oven / Range - Gas, Refrigerator, Washer / Dryer - Stacked",2016.0,No,1,1,0,1,ARLINGTON,2017-05-10,392000.0,2017-04-03,ARLINGTON,3576.55,Annually,10,10,0,False,Forced Air,False,Natural Gas,326200.0,Annually,Floor Plan-Open,39500.0,Annually,1,2017-03-24,399900.0,399900.0,Excl. Right,-77.0791,AR9895940,399900.0,Condo,"Assigned, Covered Parking, Garage, Prk Space Cnvys",Residential,"When this condo was built, AHC purchased several units for use by people with disabilities. These units were built w/o granite counters, stainless appliances or hardwood floors and have a few modifications.  In excellent move-in condition but perfect for your clients who want to update to their own tastes. See Directions for access instructions: lockbox railing in garage to left.",All Days,WILSON,1800.0,Contemporary,17-010-138,365700,0,1,718,3624.08,3,Garden 1-4 Floors,2007,6604.0,22201
8,4195 FOUR MILE RUN DR S #201,"Closet - Master Bedroom Walk-in, Countertop(s) - Granite, Drapes / Curtains, Drapery Rods, Shades / Blinds, Washer / Dryer Hookup, Wood Floors","Dishwasher, Disposal, Dryer, Refrigerator, Icemaker, Stove, Washer",2016.0,No,1,1,0,1,ARLINGTON,2017-06-29,313000.0,2017-05-26,ARLINGTON,3009.31,Annually,17,17,0,False,Forced Air,False,Electric,273700.0,Annually,Floor Plan-Open,34000.0,Annually,1,2017-05-09,313000.0,313000.0,Excl. Right,-77.097464636,AR9941117,316000.0,Condo,"Unassigned, Surface",Residential,"Sunny, pristine condo at West Village of Shirlington. Generous layout, open floor plan and patio for outdoor living. Hardwoods throughout, separate dining area and gourmet kitchen. Large and bright living room for entertaining, master bedrooms with walk in closet with custom shelving. In unit washer/dryer and storage space convey. Great community amenities include clubhouse, pool, exercise room.",All Days,FOUR MILE RUN,4195.0,Contemporary,27-007-579,307700,0,0,851,3049.3,2,Garden 1-4 Floors,1966,3986.0,22204
9,6961 FAIRFAX DR,"Bathroom(s) - Ceramic Tile, Closet - Master Bedroom Walk-in, Countertop(s) - Granite, Crown Molding, Master Bedroom - Full Bathroom, Shades / Blinds","Central Vacuum, Dishwasher, Disposal, Dryer, Microwave, Oven / Range - Gas, Refrigerator, Washer, Water Heater - High-Efficiency",2016.0,Yes,3,3,0,3,ARLINGTON,2017-08-04,639000.0,2017-07-12,ARLINGTON,5522.77,Annually,7,7,1,False,"Programmable Thermostat, Zoned",False,Electric,204700.0,Annually,,360000.0,Annually,3,2017-07-05,642144.0,642144.0,Excl. Right,-77.16708,AR9988772,642144.0,Fee Simple,Garage,Residential,"Beautiful 3 BR, 3 BA End unit townhouse in Brookwood! Wonderful kitchen with granite countertops, hardwoods throughout the main level with French doors and wood burning fireplace, 2 bedrooms up with cathedral ceilings, large side yard with stone patio overlooking creeks and mature trees, perfect for entertaining. One car garage. ALL OFFERS IN BY NOON ON JULY 11TH PLEASE.",All Days,FAIRFAX,6961.0,Traditional,01-010-041,564700,0,0,0,5596.16,1,Townhouse,1988,1008.0,22213
