,Latitude,ListingID,Unnamed: 0,FullStreetAddress,Appliances,AssessmentYear,Attic,Baths,BathsFull,BathsHalf,Beds,CityName,CloseDate,ClosePrice,ContractDate,CountyTax,DaysOnMarket,Fireplaces,Heating,HOA,HotWater,ImprovementAssessmentAmount,InteriorFeatures,LandAssessmentAmount,Stories,ListDate,ListPrice,ListingLowPrice,ListingType,Longitude,OriginalListPrice,Ownership,Parking,ShowDays,StreetName,StreetNumber,Style,ListingTaxID,TotalAssessment,TotalShowings,LivingArea,TotalTaxes,TotalTours,Type,YearBuilt,Zip4,PostalCode
0,38.86715,AR8563022,0,3601 5TH ST S #504,"Dishwasher, Disposal, Refrigerator, Range Hood, Oven / Range - Gas",2014.0,No,1.0,1,0,2,ARLINGTON,2017-02-22,185000.0,2017-01-15,1872.62,688,0,Summer / Winter Changeover,False,Natural Gas,154100.0,Floor Plan-Traditional,36400.0,1,2015-02-27,192500.0,192500.0,Excl. Right,-77.09676,229000.0,Condo,Unassigned,,5TH,3601.0,Contemporary,23-015-111,190500,0,1011,1897.38,1,Mid-Rise 5-8 Floors,1958,1636.0,22204
1,38.893190000000004,AR8673996,1,1600 OAK ST #1915/1914,"Cooktop, Dishwasher, Disposal, Dryer, Exhaust Fan, Microwave, Oven - Wall, Refrigerator, Washer, Washer / Dryer - Stacked, Washer - Front Loading",2015.0,No,2.5,2,1,3,ARLINGTON,2017-02-21,1700000.0,2016-11-16,,514,0,Heat Pump(s),True,Natural Gas,1648000.0,Floor Plan-Open,122000.0,1,2015-06-22,1850000.0,1850000.0,Excl. Right,-77.07377,2800000.0,Condo,Garage,All Days,OAK,1600.0,Contemporary,17-003-291,1770000,0,3390,17629.0,1,Hi-Rise 9+ Floors,1986,2760.0,22209
2,38.89007,AR8742330,2,1719 GREENBRIER ST,"ENERGY STAR Dishwasher, ENERGY STAR Refrigerator, Exhaust Fan, Icemaker, Oven - Double, Refrigerator, Dishwasher, Disposal, Dual-Flush Toilet(s), Oven / Range - Gas, Range Hood, Six Burner Stove",2015.0,Yes,7.5,7,1,7,ARLINGTON,2017-03-03,1625000.0,2017-01-08,7353.82,489,1,"ENERGY STAR Heating System, Forced Air, Heat Pump(s), Programmable Thermostat, Zoned",False,"Natural Gas, 60 or More Gallon Tank",173100.0,Floor Plan-Open,575000.0,4,2015-09-08,1695000.0,1695000.0,Excl. Right,-77.13037,1751000.0,Fee Simple,"Garage, Basement Garage, Drvwy/Off Str, Paved Driveway, Private 1-10 Spaces, Garage Door Opener, Asphalt Driveway",,GREENBRIER,1719.0,Arts & Crafts,09-016-016,748100,0,5994,7451.08,1,Detached,2016,3629.0,22205
3,38.84577,AR8747453,3,3723 FOUR MILE RUN DR,"Dishwasher, Disposal, Oven / Range - Gas, Refrigerator, Stove",2015.0,Yes,2.5,2,1,2,ARLINGTON,2017-01-17,430000.0,2016-12-03,3361.86,121,0,Forced Air,False,Natural Gas,152000.0,Floor Plan-Open,190000.0,3,2015-09-20,475000.0,475000.0,Excl. Right,-77.09023,450000.0,Fee Simple,Street,All Days,FOUR MILE RUN,3723.0,Federal,31-030-066,342000,1,0,3406.32,1,Semi-Detached,1945,2332.0,22206
4,38.89438,AR9823220,4,2005 KEY BLVD #11579,"Dishwasher, Disposal, Exhaust Fan, Microwave, Oven - Self Cleaning, Stove, Refrigerator",2016.0,No,1.0,1,0,2,ARLINGTON,2017-04-07,362000.0,2017-03-06,3386.81,81,0,"Heat Pump(s), Forced Air",True,Electric,309700.0,Floor Plan-Traditional,36600.0,1,2016-12-10,365000.0,365000.0,Excl. Right,-77.0838,369000.0,Condo,Street,,KEY,2005.0,Rambler,16-026-213,346300,0,852,3431.8,0,Garden 1-4 Floors,1940,,22201
5,38.8921,AR9882001,5,1719 GLEBE RD N,"Dishwasher, Disposal, Dryer, Exhaust Fan, Icemaker, Refrigerator, Stove, Washer",2016.0,Yes,2.5,2,1,3,ARLINGTON,2017-04-28,760000.0,2017-03-25,7480.72,12,1,Radiator,False,Natural Gas,288700.0,Floor Plan-Traditional,476200.0,3,2017-03-09,765000.0,765000.0,Excl. Right,-77.11908000000003,765000.0,Fee Simple,"Garage, Drvwy/Off Str",All Days,GLEBE,1719.0,Colonial,07-025-004,764900,0,1854,7580.14,1,Detached,1937,2037.0,22207
6,38.8887,AR9881038,6,1400 KENMORE ST,"Dishwasher, Disposal, Dryer, Extra Refrigerator / Freezer, Icemaker, Microwave, Refrigerator, Stove, Washer, Water Heater",2016.0,Yes,2.5,2,1,4,ARLINGTON,2017-04-07,930000.0,2017-03-15,7869.97,7,1,"Wall Unit, Radiator",False,Natural Gas,192700.0,,612000.0,3,2017-03-07,899000.0,899000.0,Excl. Right,-77.10205,899000.0,Fee Simple,"Drvwy/Off Str, Garage, Paved Driveway, Asphalt Driveway",All Days,KENMORE,1400.0,Traditional,15-039-029,804700,1,0,7974.56,2,Detached,1942,4912.0,22201
7,38.89342,AR9895940,7,1800 WILSON BLVD #222,"Dishwasher, Disposal, Exhaust Fan, Icemaker, Microwave, Oven / Range - Gas, Refrigerator, Washer / Dryer - Stacked",2016.0,No,1.0,1,0,1,ARLINGTON,2017-05-10,392000.0,2017-04-03,3576.55,10,0,Forced Air,False,Natural Gas,326200.0,Floor Plan-Open,39500.0,1,2017-03-24,399900.0,399900.0,Excl. Right,-77.0791,399900.0,Condo,"Assigned, Covered Parking, Garage, Prk Space Cnvys",All Days,WILSON,1800.0,Contemporary,17-010-138,365700,1,718,3624.08,3,Garden 1-4 Floors,2007,6604.0,22201
8,38.84951822,AR9941117,8,4195 FOUR MILE RUN DR S #201,"Dishwasher, Disposal, Dryer, Refrigerator, Icemaker, Stove, Washer",2016.0,No,1.0,1,0,1,ARLINGTON,2017-06-29,313000.0,2017-05-26,3009.31,17,0,Forced Air,False,Electric,273700.0,Floor Plan-Open,34000.0,1,2017-05-09,313000.0,313000.0,Excl. Right,-77.097464636,316000.0,Condo,"Unassigned, Surface",All Days,FOUR MILE RUN,4195.0,Contemporary,27-007-579,307700,0,851,3049.3,2,Garden 1-4 Floors,1966,3986.0,22204
9,38.89022,AR9988772,9,6961 FAIRFAX DR,"Central Vacuum, Dishwasher, Disposal, Dryer, Microwave, Oven / Range - Gas, Refrigerator, Washer, Water Heater - High-Efficiency",2016.0,Yes,3.0,3,0,3,ARLINGTON,2017-08-04,639000.0,2017-07-12,5522.77,7,1,"Programmable Thermostat, Zoned",False,Electric,204700.0,,360000.0,3,2017-07-05,642144.0,642144.0,Excl. Right,-77.16708,642144.0,Fee Simple,Garage,All Days,FAIRFAX,6961.0,Traditional,01-010-041,564700,0,0,5596.16,1,Townhouse,1988,1008.0,22213
